time_s,x_east_m,y_north_m,z_up_m,heading_deg,u_mps
0.200,-0.000,0.000,0.000,0.073,249.946
0.400,0.018,49.964,-0.342,359.885,249.402
0.600,0.042,99.839,-0.589,359.851,248.690
0.800,0.078,149.655,-0.772,359.993,248.046
1.000,0.162,199.393,-0.782,359.828,247.484
1.200,0.293,248.988,-0.476,359.260,247.401
1.400,0.397,298.427,0.039,359.390,246.807
1.600,0.484,347.810,0.250,359.923,246.508
1.800,0.588,397.167,-0.142,359.799,246.123
2.000,0.674,446.419,-0.867,359.693,246.157
2.200,0.752,495.638,-1.757,359.772,245.388
2.400,0.848,544.818,-2.438,359.734,243.694
2.600,0.972,593.886,-2.510,359.738,242.264
2.800,1.109,642.840,-2.040,359.775,242.214
3.000,1.253,691.701,-1.195,359.718,243.419
3.200,1.397,740.531,-0.249,359.623,244.110
3.400,1.533,789.378,0.449,359.596,244.275
3.600,1.659,838.261,0.590,359.224,243.812
3.800,1.764,887.094,0.326,358.953,243.766
4.000,1.840,935.903,-0.168,359.112,244.052
4.200,1.902,984.745,-0.702,359.062,243.246
4.400,1.926,1033.574,-0.856,359.078,242.075
4.600,1.924,1082.370,-0.615,359.152,242.007
4.800,1.913,1131.120,-0.029,359.105,243.147
5.000,1.895,1179.870,0.616,359.013,243.766
5.200,1.866,1228.630,1.060,358.728,243.452
5.400,1.806,1277.364,1.124,358.813,242.805
5.600,1.727,1326.070,0.584,359.072,243.173
5.800,1.644,1374.765,-0.313,359.205,243.443
6.000,1.581,1423.443,-1.061,359.258,242.660
6.200,1.515,1472.105,-1.434,359.409,241.551
6.400,1.446,1520.765,-1.534,359.639,241.520
6.600,1.407,1569.431,-1.501,359.548,242.727
6.800,1.425,1618.111,-1.438,358.830,243.295
7.000,1.487,1666.762,-1.399,357.831,242.692
7.200,1.524,1715.340,-1.537,357.715,241.664
7.400,1.499,1763.909,-2.332,358.187,241.485
7.600,1.401,1812.473,-4.017,358.875,242.339
7.800,1.276,1861.054,-6.219,0.367,243.346
